"Caesars Windsor","https://www.cheapflights.ca/hotels/Caesars-Windsor,Windsor-p63083-h202136-details/2024-05-01/2024-05-05/2rooms/4adults?psid=jlDkXSgruL&pm=totaltaxes#overview","C$ 1,779","8.2","Very good"
"Stonecroft Inn","https://www.cheapflights.ca/hotels/Stonecroft-Inn,Windsor-p63083-h655809-details/2024-05-01/2024-05-05/2rooms/4adults?psid=jlDkXSgruL&pm=totaltaxes#overview","C$ 1,411","8.9","Very good"
"DoubleTree by Hilton Windsor Hotel & Suites","https://www.cheapflights.ca/hotels/DoubleTree-by-Hilton-Windsor-Hotel--Suites,Windsor-p63083-h32175-details/2024-05-01/2024-05-05/2rooms/4adults?psid=jlDkXSgruL&pm=totaltaxes#overview","C$ 2,600","8.7","Very good"
"Howard Johnson Plaza by Wyndham Windsor","https://www.cheapflights.ca/hotels/Howard-Johnson-Plaza-by-Wyndham-Windsor,Windsor-p63083-h150843-details/2024-05-01/2024-05-05/2rooms/4adults?psid=jlDkXSgruL&pm=totaltaxes#overview","C$ 636","7.0","Good"
"Four Points by Sheraton Windsor Downtown","https://www.cheapflights.ca/hotels/Four-Points-by-Sheraton-Windsor-Downtown,Windsor-p63083-h15080-details/2024-05-01/2024-05-05/2rooms/4adults?psid=jlDkXSgruL&pm=totaltaxes#overview","C$ 1,938","8.1","Very good"
"Holiday Inn Express Windsor Waterfront","https://www.cheapflights.ca/hotels/Holiday-Inn-Express-Windsor-Waterfront,Windsor-p63083-h37594-details/2024-05-01/2024-05-05/2rooms/4adults?psid=jlDkXSgruL&pm=totaltaxes#overview","Before signing in","8.1","Very good"
"Comfort Inn & Suites Ambassador Bridge","https://www.cheapflights.ca/hotels/Comfort-Inn--Suites-Ambassador-Bridge,Windsor-p63083-h343638-details/2024-05-01/2024-05-05/2rooms/4adults?psid=jlDkXSgruL&pm=totaltaxes#overview","C$ 1,401","6.9","Okay"
"TownePlace Suites by Marriott Windsor","https://www.cheapflights.ca/hotels/TownePlace-Suites-by-Marriott-Windsor,Windsor-p63083-h885298-details/2024-05-01/2024-05-05/2rooms/4adults?psid=jlDkXSgruL&pm=totaltaxes#overview","Before signing in","8.8","Very good"
"Comfort Inn Windsor","https://www.cheapflights.ca/hotels/Comfort-Inn-Windsor,Windsor-p63083-h34103-details/2024-05-01/2024-05-05/2rooms/4adults?psid=jlDkXSgruL&pm=totaltaxes#overview","C$ 1,523","8.0","Very good"
"Super 8 by Wyndham Windsor/Dougall","https://www.cheapflights.ca/hotels/Super-8-by-Wyndham-WindsorDougall,Windsor-p63083-h420924-details/2024-05-01/2024-05-05/2rooms/4adults?psid=jlDkXSgruL&pm=totaltaxes#overview","Before signing in","7.6","Good"
