"Caesars Windsor","https://www.ca.kayak.com/hotels/Caesars-Windsor,Windsor-p63083-h202136-details/2024-05-01/2024-05-05/2rooms/4adults?psid=jgBECpSBqW&pm=totaltaxes#overview","1803","8.2","Very good 1,253 reviews"
"Howard Johnson Plaza by Wyndham Windsor","https://www.ca.kayak.com/hotels/Howard-Johnson-Plaza-by-Wyndham-Windsor,Windsor-p63083-h150843-details/2024-05-01/2024-05-05/2rooms/4adults?psid=jgBECpSBqW&pm=totaltaxes#overview","719","7.0","Good 1,093 reviews"
"DoubleTree by Hilton Windsor Hotel & Suites","https://www.ca.kayak.com/hotels/DoubleTree-by-Hilton-Windsor-Hotel--Suites,Windsor-p63083-h32175-details/2024-05-01/2024-05-05/2rooms/4adults?psid=jgBECpSBqW&pm=totaltaxes#overview","1800","8.7","Very good 399 reviews"
"Stonecroft Inn","https://www.ca.kayak.com/hotels/Stonecroft-Inn,Windsor-p63083-h655809-details/2024-05-01/2024-05-05/2rooms/4adults?psid=jgBECpSBqW&pm=totaltaxes#overview","1411","8.9","Very good 1,145 reviews"
"Four Points by Sheraton Windsor Downtown","https://www.ca.kayak.com/hotels/Four-Points-by-Sheraton-Windsor-Downtown,Windsor-p63083-h15080-details/2024-05-01/2024-05-05/2rooms/4adults?psid=jgBECpSBqW&pm=totaltaxes#overview","1854","8.2","Very good 265 reviews"
"Comfort Inn Windsor","https://www.ca.kayak.com/hotels/Comfort-Inn-Windsor,Windsor-p63083-h34103-details/2024-05-01/2024-05-05/2rooms/4adults?psid=jgBECpSBqW&pm=totaltaxes#overview","1523","8.0","Very good 236 reviews"
"Holiday Inn Express Windsor Waterfront","https://www.ca.kayak.com/hotels/Holiday-Inn-Express-Windsor-Waterfront,Windsor-p63083-h37594-details/2024-05-01/2024-05-05/2rooms/4adults?psid=jgBECpSBqW&pm=totaltaxes#overview","1710","8.1","Very good 1,075 reviews"
"Hampton Inn & Suites by Hilton Windsor","https://www.ca.kayak.com/hotels/Hampton-Inn--Suites-by-Hilton-Windsor,Windsor-p63083-h47944-details/2024-05-01/2024-05-05/2rooms/4adults?psid=jgBECpSBqW&pm=totaltaxes#overview","1863","7.8","Good 327 reviews"
"Super 8 by Wyndham Windsor/Dougall","https://www.ca.kayak.com/hotels/Super-8-by-Wyndham-WindsorDougall,Windsor-p63083-h420924-details/2024-05-01/2024-05-05/2rooms/4adults?psid=jgBECpSBqW&pm=totaltaxes#overview","1011","7.6","Good 616 reviews"
"TownePlace Suites by Marriott Windsor","https://www.ca.kayak.com/hotels/TownePlace-Suites-by-Marriott-Windsor,Windsor-p63083-h885298-details/2024-05-01/2024-05-05/2rooms/4adults?psid=jgBECpSBqW&pm=totaltaxes#overview","2012","8.8","Very good 312 reviews"
